86,17,90.00,0,"PP4.0"
87,18,10.00,0,"PP4.2"
88,18,30.00,0,"PP4.4"
89,18,50.00,0,"PP4.6"
90,18,70.00,0,"PP4.8"
91,18,90.00,0,"PP5.0"
92,19,10.00,0,"PP5.2"
93,19,30.00,0,"PP5.4"
94,19,50.00,0,"PP5.6"
95,19,70.00,0,"PP5.8"
96,19,90.00,0,"PP6.0"
97,20,10.00,0,"PP6.2"
98,20,30.00,0,"PP6.4"
99,20,50.00,0,"PP6.6"
100,20,70.00,0,"PP6.8"
101,20,90.00,0,"PP7.0"
102,21,10.00,0,"PP7.2"
103,21,30.00,0,"PP7.4"
104,21,50.00,0,"PP7.6"
105,21,70.00,0,"PP7.8"
106,21,90.00,0,"PP8.0"
107,22,10.00,0,"PP8.2"
108,22,30.00,0,"PP8.4"
109,22,50.00,0,"PP8.6"
110,22,70.00,0,"PP8.8"
111,22,90.00,0,"PP9.0"
112,23,10.00,0,"PP9.2"
113,23,30.00,0,"PP9.4"
114,23,50.00,0,"PP9.6"
115,23,70.00,0,"PP9.8"
116,23,90.00,0,"PP10.0"
117,24,10.00,0,"WP0.2"
118,24,30.00,0,"WP0.4"
119,24,50.00,0,"WP0.6"
120,24,70.00,0,"WP0.8"
121,24,90.00,0,"WP1.0"
122,25,10.00,0,"WP1.2"
123,25,30.00,0,"WP1.4"
124,25,50.00,0,"WP1.6"
125,25,70.00,0,"WP1.8"
126,25,90.00,0,"WP2.0"
127,26,10.00,0,"WP2.2"
128,26,30.00,0,"WP2.4"
129,26,50.00,0,"WP2.6"
130,26,70.00,0,"WP2.8"
131,26,90.00,0,"WP3.0"
132,27,10.00,0,"WP3.2"
133,27,30.00,0,"WP3.4"
134,27,50.00,0,"WP3.6"
135,27,70.00,0,"WP3.8"
136,27,90.00,0,"WP4.0"
137,28,10.00,0,"WP4.2"
138,28,30.00,0,"WP4.4"
139,28,50.00,0,"WP4.6"
140,28,70.00,0,"WP4.8"
141,28,90.00,0,"WP5.0"
142,29,10.00,0,"WP5.2"
143,29,30.00,0,"WP5.4"
144,29,50.00,0,"WP5.6"
145,29,70.00,0,"WP5.8"
146,29,90.00,0,"WP6.0"
147,30,10.00,0,"WP6.2"
148,30,30.00,0,"WP6.4"
149,30,50.00,0,"WP6.6"
150,30,70.00,0,"WP6.8"
151,30,90.00,0,"WP7.0"
152,31,10.00,0,"WP7.2"
153,31,30.00,0,"WP7.4"
154,31,50.00,0,"WP7.6"
155,31,70.00,0,"WP7.8"
156,31,90.00,0,"WP8.0"
157,32,10.00,0,"WP8.2"
158,32,30.00,0,"WP8.4"
159,32,50.00,0,"WP8.6"
160,32,70.00,0,"WP8.8"
161,32,90.00,0,"WP9.0"
162,33,10.00,0,"WP9.2"
163,33,30.00,0,"WP9.4"
164,33,50.00,0,"WP9.6"
165,33,70.00,0,"WP9.8"
166,33,90.00,0,"WP10.0"
167,34,10.00,0,"WP10.2"
168,34,30.00,0,"WP10.4"
169,34,50.00,0,"WP10.6"
170,34,70.00,0,"WP10.8"
171,34,90.00,0,"WP11.0"
172,35,10.00,0,"WP11.2"
173,35,30.00,0,"WP11.4"
174,35,50.00,0,"WP11.6"
175,35,70.00,0,"WP11.8"
176,35,90.00,0,"WP12.0"
177,36,10.00,0,"WP12.2"
178,36,30.00,0,"WP12.4"
179,36,50.00,0,"WP12.6"
180,36,70.00,0,"WP12.8"
181,36,90.00,0,"WP13.0"
182,37,10.00,0,"WP13.2"
183,37,30.00,0,"WP13.4"
184,37,50.00,0,"WP13.6"
185,37,70.00,0,"WP13.8"
186,37,90.00,0,"WP14.0"
187,38,10.00,0,"WP14.2"
188,38,30.00,0,"WP14.4"
189,38,50.00,0,"WP14.6"
190,38,70.00,0,"WP14.8"
191,38,90.00,0,"WP15.0"
192,39,10.00,0,"WP15.2"
193,39,30.00,0,"WP15.4"
194,39,50.00,0,"WP15.6"
195,39,70.00,0,"WP15.8"
196,39,90.00,0,"WP16.0"
197,40,10.00,0,"WP16.2"
198,40,30.00,0,"WP16.4"
199,40,50.00,0,"WP16.6"
200,40,70.00,0,"WP16.8"
201,40,90.00,0,"WP17.0"
